Project: mp3
Revision: mp3
Flow Start Date: Sun Dec 09 18:50:24 CST 2018
Flow End Date: Sun Dec 09 21:39:34 CST 2018

Detailed Results
Point,base-slow-1100mV-85C,base-slow-1100mV-0C,base-fast-1100mV-0C,1-slow-1100mV-85C,1-slow-1100mV-0C,1-fast-1100mV-0C,2-slow-1100mV-85C,2-slow-1100mV-0C,2-fast-1100mV-0C,3-slow-1100mV-85C,3-slow-1100mV-0C,3-fast-1100mV-0C,4-slow-1100mV-85C,4-slow-1100mV-0C,4-fast-1100mV-0C,5-slow-1100mV-85C,5-slow-1100mV-0C,5-fast-1100mV-0C,6-slow-1100mV-85C,6-slow-1100mV-0C,6-fast-1100mV-0C,7-slow-1100mV-85C,7-slow-1100mV-0C,7-fast-1100mV-0C,8-slow-1100mV-85C,8-slow-1100mV-0C,8-fast-1100mV-0C,9-slow-1100mV-85C,9-slow-1100mV-0C,9-fast-1100mV-0C,10-slow-1100mV-85C,10-slow-1100mV-0C,10-fast-1100mV-0C (Best)
All Failing Paths,>0,0,0,0,0,0,0,0,0,>0,0,0,0,0,0,0,0,0,0,0,0,>0,0,0,0,0,0,0,0,0,0,0,0
Clock Hold: 'clk': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'clk': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'clk': Worst-case Slack,0.233 ns,0.219 ns,0.131 ns,0.232 ns,0.218 ns,0.129 ns,0.233 ns,0.218 ns,0.130 ns,0.239 ns,0.225 ns,0.135 ns,0.233 ns,0.218 ns,0.130 ns,0.240 ns,0.225 ns,0.136 ns,0.232 ns,0.218 ns,0.130 ns,0.199 ns,0.187 ns,0.126 ns,0.205 ns,0.192 ns,0.129 ns,0.233 ns,0.219 ns,0.131 ns,0.284 ns,0.261 ns,0.180 ns
Clock Hold: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Clock Period: Geometric Mean,9.46 ns,8.74 ns,7.2 ns,8.91 ns,8.17 ns,6.32 ns,8.76 ns,8.1 ns,6.2 ns,9.11 ns,8.4 ns,6.76 ns,8.76 ns,8.12 ns,6.07 ns,8.89 ns,8.2 ns,6.64 ns,8.71 ns,8.07 ns,6.52 ns,9.09 ns,8.42 ns,6.77 ns,8.77 ns,8.12 ns,6.17 ns,8.66 ns,8.03 ns,6.27 ns,8.7 ns,8.04 ns,6.29 ns
Clock Recovery: Total Keeper TNS,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns
Clock Removal: Total Keeper TNS,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns
Clock Setup: 'clk': Actual Time,9.463 ns,8.744 ns,7.200 ns,8.910 ns,8.169 ns,6.315 ns,8.762 ns,8.099 ns,6.197 ns,9.110 ns,8.401 ns,6.759 ns,8.759 ns,8.123 ns,6.069 ns,8.889 ns,8.199 ns,6.643 ns,8.710 ns,8.066 ns,6.523 ns,9.087 ns,8.422 ns,6.773 ns,8.771 ns,8.123 ns,6.167 ns,8.659 ns,8.028 ns,6.270 ns,8.703 ns,8.044 ns,6.292 ns
Clock Setup: 'clk': Fmax,105.67 MHz,114.36 MHz,138.89 MHz,112.23 MHz,122.41 MHz,158.35 MHz,114.13 MHz,123.47 MHz,161.37 MHz,109.77 MHz,119.03 MHz,147.95 MHz,114.17 MHz,123.11 MHz,164.77 MHz,112.5 MHz,121.97 MHz,150.53 MHz,114.81 MHz,123.98 MHz,153.3 MHz,110.05 MHz,118.74 MHz,147.65 MHz,114.01 MHz,123.11 MHz,162.15 MHz,115.49 MHz,124.56 MHz,159.49 MHz,114.9 MHz,124.32 MHz,158.93 MHz
